ImageID,LabelName,XMin,XMax,YMin,YMax
i0.jpg,Shellfish,0.0875,0.8171875,0.35625,0.8958333
i0.jpg,Seafood,0.0875,0.8171875,0.35625,0.8958333
i0.jpg,Animal,0.0875,0.8171875,0.35625,0.8958333
i0.jpg,Crab,0.1359375,0.74375,0.375,0.89166665
i0.jpg,Shellfish,0.1359375,0.74375,0.375,0.89166665
i0.jpg,Seafood,0.1359375,0.74375,0.375,0.89166665
i0.jpg,Marine invertebrates,0.1359375,0.74375,0.375,0.89166665
i0.jpg,Invertebrate,0.1359375,0.74375,0.375,0.89166665
i0.jpg,Shellfish,0.1359375,0.74375,0.375,0.89166665
i0.jpg,Animal,0.1359375,0.74375,0.375,0.89166665
i1.jpg,Tin can,0.1296875,0.3375,0.31875,0.68958336
i1.jpg,Tin can,0.5359375,0.7390625,0.16041666,0.58125
i1.jpg,Tin can,0.7640625,0.9484375,0.26875,0.57916665
i1.jpg,Drink,0.1296875,0.3390625,0.32083333,0.69166666
i1.jpg,Drink,0.2640625,0.553125,0.11875,0.79375
i1.jpg,Drink,0.4234375,0.546875,0.58958334,0.92083335
i1.jpg,Drink,0.5375,0.7375,0.16666667,0.575
i1.jpg,Drink,0.7640625,0.9484375,0.27083334,0.57916665
i2.jpg,Plumbing fixture,0.57879233,0.6259205,0.031042129,0.09977827
i2.jpg,Plumbing fixture,0.73932254,0.97938144,0.8447894,1.0
i3.jpg,Person,0.2522686,0.45735028,0.22980252,0.62836623
i3.jpg,Surfboard,0.34664246,0.8076225,0.33752245,0.7540395000000001
i3.jpg,Boat,0.3448276,0.8076225,0.33752245,0.7558348000000001
i3.jpg,Watercraft,0.3448276,0.8076225,0.33752245,0.7558348000000001
i3.jpg,Vehicle,0.3448276,0.8076225,0.33752245,0.7558348000000001
i3.jpg,Jet ski,0.34845734,0.8094374,0.33752245,0.7558348000000001
i3.jpg,Watercraft,0.34845734,0.8094374,0.33752245,0.7558348000000001
i3.jpg,Vehicle,0.34845734,0.8094374,0.33752245,0.7558348000000001
i4.jpg,Baseball glove,0.47508305,0.53156143,0.3988212,0.45383105
i4.jpg,Glove,0.47508305,0.53156143,0.3988212,0.45383105
i4.jpg,Baseball glove,0.50498337,0.551495,0.3438114,0.42239687
i4.jpg,Glove,0.50498337,0.551495,0.3438114,0.42239687
i4.jpg,Human leg,0.06312292,0.16611296,0.29666013,0.5795678000000001
i4.jpg,Human leg,0.093023255,0.24252492,0.27111983,0.5913556
i4.jpg,Human leg,0.16445182,0.48504984,0.5638506999999999,0.9096267
i4.jpg,Human leg,0.47840533,0.7906977,0.5442043000000001,0.9155206
i4.jpg,Human leg,0.71428573,0.8023256,0.27504912,0.50687623
i4.jpg,Human leg,0.72425246,0.80564785,0.23379175,0.502947
i4.jpg,Human leg,0.82724255,0.89700997,0.2848723,0.502947
i4.jpg,Glove,0.2857143,0.3139535,0.0,0.01178782
i4.jpg,Glove,0.47342193,0.55315614,0.34184676,0.45186642
i4.jpg,Sports uniform,0.0,0.12790698,0.0,0.070726916
i4.jpg,Sports uniform,0.059800666,0.3139535,0.0,0.5972495
i4.jpg,Sports uniform,0.16445182,0.7923588,0.06876228,0.91159135
i4.jpg,Footwear,0.061461795,0.13953489,0.5265226,0.57760316
i4.jpg,Footwear,0.13455150000000002,0.24252492,0.5461689999999999,0.59921414
i4.jpg,Footwear,0.16445182,0.27242523,0.76817286,0.9096267
i4.jpg,Footwear,0.65448505,0.7890366,0.8133595,0.9155206
i4.jpg,Boy,0.0,0.94518274,0.0,0.913556
i4.jpg,Person,0.0,0.94518274,0.0,0.913556
i4.jpg,Helmet,0.35714287,0.50664455,0.06483301,0.21611002
i4.jpg,Helmet,0.8089701,0.8770764000000001,0.0,0.027504912000000003
i4.jpg,Human arm,0.0,0.08637874,0.015717093,0.06876228
i4.jpg,Human arm,0.1013289,0.12458472,0.037328094,0.070726916
i4.jpg,Human arm,0.27076409999999995,0.3089701,0.00589391,0.05697446
i4.jpg,Human arm,0.43023255,0.48172757,0.41060904,0.46561885
i4.jpg,Human arm,0.78571427,0.85548174,0.029469548,0.11984283
i4.jpg,Human arm,0.88372093,0.9435216,0.033398822,0.11984283
i4.jpg,Man,0.061461795,0.3139535,0.0,0.59921414
i4.jpg,Person,0.061461795,0.3139535,0.0,0.59921414
i4.jpg,Man,0.1627907,0.7923588,0.06483301,0.913556
i4.jpg,Person,0.1627907,0.7923588,0.06483301,0.913556
i4.jpg,Man,0.72425246,0.9385382,0.0,0.5049116
i4.jpg,Person,0.72425246,0.9385382,0.0,0.5049116
i4.jpg,Baseball bat,0.3139535,0.5,0.4204322,0.57563853
i5.jpg,Tart,0.0,0.9977827,0.026470589,0.725
i6.jpg,Parachute,0.2,0.21666667,0.23125,0.2625
i6.jpg,Parachute,0.5416667,0.5833333,0.190625,0.271875
i6.jpg,Balloon,0.2,0.21458334,0.234375,0.259375
i6.jpg,Toy,0.2,0.21458334,0.234375,0.259375
i6.jpg,Balloon,0.5395833000000001,0.5875,0.190625,0.265625
i6.jpg,Toy,0.5395833000000001,0.5875,0.190625,0.265625
i7.jpg,Human leg,0.054908484,0.14975041,0.41291586,0.9432485
i7.jpg,Human leg,0.08485857,0.23960066,0.43835616,0.9412916
i7.jpg,Human leg,0.32113144,0.4592346,0.86692756,0.9138943000000002
i7.jpg,Human leg,0.54575706,0.7387687,0.85714287,0.9315069
i7.jpg,Human leg,0.6239601,0.8419300999999999,0.8590998,0.9412916
i7.jpg,Human leg,0.62728786,0.8768719000000001,0.8532290000000001,0.94520545
i7.jpg,Girl,0.041597337000000005,0.4575707000000001,0.03522505,0.93542075
i7.jpg,Person,0.041597337000000005,0.4575707000000001,0.03522505,0.93542075
i7.jpg,Girl,0.5440931999999999,0.953411,0.54011744,0.9373777
i7.jpg,Person,0.5440931999999999,0.953411,0.54011744,0.9373777
i7.jpg,Person,0.14808652,0.91347754,0.77103716,0.9138943000000002
i7.jpg,Brassiere,0.74875206,0.8851913,0.6614481,0.78277886
i7.jpg,Swimwear,0.069883525,0.21630615,0.14481409,0.5264188
i7.jpg,Swimwear,0.73377705,0.88186353,0.66536206,0.8884540000000001
i7.jpg,Woman,0.041597337000000005,0.45424291,0.025440313,0.93542075
i7.jpg,Person,0.041597337000000005,0.45424291,0.025440313,0.93542075
i7.jpg,Woman,0.54242927,0.95840263,0.54011744,0.9432485
i7.jpg,Person,0.54242927,0.95840263,0.54011744,0.9432485
i8.jpg,Vegetable,0.734375,1.0,0.14583333,0.59375
i8.jpg,Coffee,0.478125,0.603125,0.0125,0.041666668
i8.jpg,Drink,0.478125,0.603125,0.0125,0.041666668
i8.jpg,Tableware,0.0,0.4171875,0.075,0.38958332
i8.jpg,Tableware,0.0,0.9984375,0.16458334,0.97291666
i8.jpg,Coffee cup,0.425,0.6625,0.0,0.24166666
i8.jpg,Tableware,0.425,0.6625,0.0,0.24166666
i8.jpg,Coffee cup,0.7296875,0.8875,0.0,0.11875
i8.jpg,Tableware,0.7296875,0.8875,0.0,0.11875
i8.jpg,Tea,0.48125,0.596875,0.008333334,0.04375
i8.jpg,Drink,0.48125,0.596875,0.008333334,0.04375
i9.jpg,Furniture,0.5,0.67509025,0.51083034,0.8212995999999999
i9.jpg,Furniture,0.7075812,0.8971119000000001,0.6353791,0.833935
i9.jpg,Building,0.0,1.0,0.0,0.5379060999999999
i9.jpg,Studio couch,0.0,0.45848376,0.5216606,0.91155237
i9.jpg,Bed,0.0,0.45848376,0.5216606,0.91155237
i9.jpg,Furniture,0.0,0.45848376,0.5216606,0.91155237
i9.jpg,House,0.0,1.0,0.1732852,1.0
i9.jpg,Building,0.0,1.0,0.1732852,1.0
i9.jpg,Table,0.5685920999999999,0.7761733000000001,0.6805054,0.8935018
i9.jpg,Furniture,0.5685920999999999,0.7761733000000001,0.6805054,0.8935018
i9.jpg,Window,0.10469314,0.14801444,0.012635379,0.05595668
i9.jpg,Window,0.1064982,0.1498195,0.08303249,0.12454873
i9.jpg,Window,0.1064982,0.1498195,0.1534296,0.18772563
i9.jpg,Window,0.16064982,0.20216607,0.032490976,0.07400722
i9.jpg,Window,0.16245487,0.20216607,0.092057765,0.13537906
i9.jpg,Window,0.25451264,0.28519857,0.0,0.037906136
i9.jpg,Window,0.25451264,0.2870036,0.057761732,0.09927798
i9.jpg,Window,0.35920578,0.38086644,0.023465704,0.050541516
i9.jpg,Window,0.35920578,0.38086644,0.14079422,0.16245487
